"TRACE_FILE" "l3_s" "l3_a" "AMAT_hacia_l3"
"471.omnetpp-188B.trace.txt.gz" 512 32 307950864.699926
"473.astar-153B.trace.txt.gz" 512 32 15914515.27836
"481.wrf-1170B.trace.txt.gz" 512 32 14892968.382904
"482.sphinx3-1100B.trace.txt.gz" 512 32 89785422.51649
"483.xalancbmk-127B.trace.txt.gz" 512 32 278509515.133952
"Media geométrica"   64923032.488244
"TRACE_FILE" "l3_s" "l3_a" "AMAT_hacia_l3"
"400.perlbench-41B.trace.txt.gz" 1024 16 4320104.864268
"401.bzip2-226B.trace.txt.gz" 1024 16 53483602.232789
"403.gcc-16B.trace.txt.gz" 1024 16 300373847.157898
"410.bwaves-1963B.trace.txt.gz" 1024 16 132230302.196926
"416.gamess-875B.trace.txt.gz" 1024 16 25396472.7370625
"429.mcf-184B.trace.txt.gz" 1024 16 5240194552.06875
"433.milc-127B.trace.txt.gz" 1024 16 315884151.828736
"435.gromacs-111B.trace.txt.gz" 1024 16 16189021.702
"436.cactusADM-1804B.trace.txt.gz" 1024 16 16576085.724025
"437.leslie3d-134B.trace.txt.gz" 1024 16 18148272.1826665
"444.namd-120B.trace.txt.gz" 1024 16 11814540.9195385
"445.gobmk-17B.trace.txt.gz" 1024 16 27266303.7446505
"450.soplex-247B.trace.txt.gz" 1024 16 1922144314.59783
"453.povray-887B.trace.txt.gz" 1024 16 59753896.32875
"454.calculix-104B.trace.txt.gz" 1024 16 4607905.123924
"456.hmmer-191B.trace.txt.gz" 1024 16 15636517.123125
"458.sjeng-1088B.trace.txt.gz" 1024 16 17201361.268106
"459.GemsFDTD-1169B.trace.txt.gz" 1024 16 213211412.972875
"462.libquantum-1343B.trace.txt.gz" 1024 16 208353011.004562
"464.h264ref-30B.trace.txt.gz" 1024 16 4857462.699008
"465.tonto-1769B.trace.txt.gz" 1024 16 500166765.740342
"470.lbm-1274B.trace.txt.gz" 1024 16 518880375.030624
"471.omnetpp-188B.trace.txt.gz" 1024 16 307955271.370629
"473.astar-153B.trace.txt.gz" 1024 16 15914555.00796
"481.wrf-1170B.trace.txt.gz" 1024 16 14892968.382904
"482.sphinx3-1100B.trace.txt.gz" 1024 16 89786724.32872
"483.xalancbmk-127B.trace.txt.gz" 1024 16 278509515.133952
"Media geométrica"   64978678.6104105
"TRACE_FILE" "l3_s" "l3_a" "AMAT_hacia_l3"
"400.perlbench-41B.trace.txt.gz" 1024 32 4320104.864268
"401.bzip2-226B.trace.txt.gz" 1024 32 53483602.232789
"403.gcc-16B.trace.txt.gz" 1024 32 300373847.157898
"410.bwaves-1963B.trace.txt.gz" 1024 32 132230302.196926
"416.gamess-875B.trace.txt.gz" 1024 32 25396472.7370625
"429.mcf-184B.trace.txt.gz" 1024 32 5240855066.85225
"433.milc-127B.trace.txt.gz" 1024 32 315884151.828736
"435.gromacs-111B.trace.txt.gz" 1024 32 16189021.702
"436.cactusADM-1804B.trace.txt.gz" 1024 32 16576085.724025
"437.leslie3d-134B.trace.txt.gz" 1024 32 18148272.1826665
"444.namd-120B.trace.txt.gz" 1024 32 11814540.9195385
"445.gobmk-17B.trace.txt.gz" 1024 32 27266303.7446505
"450.soplex-247B.trace.txt.gz" 1024 32 1922539603.20754
"453.povray-887B.trace.txt.gz" 1024 32 59753896.32875
"454.calculix-104B.trace.txt.gz" 1024 32 4607905.123924
"456.hmmer-191B.trace.txt.gz" 1024 32 15636517.123125
"458.sjeng-1088B.trace.txt.gz" 1024 32 17201361.268106
"459.GemsFDTD-1169B.trace.txt.gz" 1024 32 213211412.972875
"462.libquantum-1343B.trace.txt.gz" 1024 32 208353011.004562
"464.h264ref-30B.trace.txt.gz" 1024 32 4857462.699008
"465.tonto-1769B.trace.txt.gz" 1024 32 500166765.740342
"470.lbm-1274B.trace.txt.gz" 1024 32 518880375.030624
"471.omnetpp-188B.trace.txt.gz" 1024 32 307955271.370629
"473.astar-153B.trace.txt.gz" 1024 32 15914555.00796
"481.wrf-1170B.trace.txt.gz" 1024 32 14892968.382904
"482.sphinx3-1100B.trace.txt.gz" 1024 32 89786724.32872
"483.xalancbmk-127B.trace.txt.gz" 1024 32 278509515.133952
"Media geométrica"   64979476.8145601
